k,a,result
1,0.1,2.0951232710519827
1,0.5,2.113565068709802
1,1,2.134908207683913
2,0.1,2.1461597713603764
2,0.5,2.2016148028971574
2,1,2.262133889542985
3,0.1,2.3012030709661477
3,0.5,2.431480781507679
3,1,2.5675819225757026
4,0.1,2.672694772541866
4,0.5,2.9083839831312366
4,1,3.1276440121981293
5,0.1,3.4376766445489535
5,0.5,3.612039620485225
5,1,3.7859571752813497
6,0.1,4.06461655575536
6,0.5,4.096299530021275
6,1,4.161093102853081
7,0.1,4.206924749582873
7,0.5,4.238354348701967
7,1,4.264907349690664
8,0.1,4.289881804707926
8,0.5,4.2974618301129865
8,1,4.305219159738882
9,0.1,4.317440164543203
9,0.5,4.317001323133904
9,1,4.318458083862623
10,0.1,4.320093154562864
10,0.5,4.320430778855012
10,1,4.320901048292787
11,0.1,4.321712128449193
11,0.5,4.321648880464599
11,1,4.321729323361503
12,0.1,4.322101263181928
12,0.5,4.321968800488922
12,1,4.321948932461728
13,0.1,4.321928094886865
13,0.5,4.321928094886865
13,1,4.321928094886865
14,0.1,4.321928094886865
14,0.5,4.321928094886865
14,1,4.321928094886865
15,0.1,4.321928094886865
15,0.5,4.321928094886865
15,1,4.321928094886865
16,0.1,4.321928094886865
16,0.5,4.321928094886865
16,1,4.321928094886865
17,0.1,4.321928094886865
17,0.5,4.321928094886865
17,1,4.321928094886865
18,0.1,4.321928094886865
18,0.5,4.321928094886865
18,1,4.321928094886865
19,0.1,4.321928094886865
19,0.5,4.321928094886865
19,1,4.321928094886865
