k,a,result
1,0.1,1.9197601990014437
1,0.5,1.9197592939116468
1,1,1.9197590089304577
2,0.1,1.9107612650798484
2,0.5,1.910757650391121
2,1,1.9107565175527894
3,0.1,1.9080078604043165
3,0.5,1.9079934002050192
3,1,1.9079888670275307
4,0.1,1.9034462340489924
4,0.5,1.9033884400289074
4,1,1.9033703654097578
5,0.1,1.8970741623291933
5,0.5,1.896843578441663
5,1,1.8967720117418727
6,0.1,1.8860488873628607
6,0.5,1.8851319579508714
6,1,1.884852227631152
7,0.1,1.8721814956669163
7,0.5,1.8685712883298438
7,1,1.8675089921622001
8,0.1,1.8596474454596248
8,0.5,1.846088632961655
8,1,1.8423648450282009
9,0.1,1.8706373971842127
9,0.5,1.826443500823255
9,1,1.8156166103677158
10,0.1,1.9342493193144172
10,0.5,1.8175951412056024
10,1,1.7924669453909141
11,0.1,2.015041271253743
11,0.5,1.7973468431709698
11,1,1.763485920762097
12,0.1,1.933836428206827
12,0.5,1.741063721840062
12,1,1.7308706787054564
13,0.1,1.776390291218912
13,0.5,1.6986111645190072
13,1,1.7186112421162767
14,0.1,1.6835407781122538
14,0.5,1.6880662530006092
14,1,1.7244217317256818
15,0.1,1.6538714461653827
15,0.5,1.6953420453770018
15,1,1.7375483072512106
16,0.1,1.653762409216705
16,0.5,1.7088497945262948
16,1,1.7523114407382878
17,0.1,1.6637842177282185
17,0.5,1.723384551047529
17,1,1.7664830468265584
18,0.1,1.676471953175598
18,0.5,1.7373324133342742
18,1,1.7795612479412872
19,0.1,1.689125133944439
19,0.5,1.7500970126845325
19,1,1.7913344570772516
