k,a,result
1,0.1,4.120776292829026
1,0.5,4.1206052388424395
1,1,4.120549342918272
2,0.1,4.117631919448283
2,0.5,4.114390566502093
2,1,4.113338944730495
3,0.1,4.217385424554909
3,0.5,4.158400617114309
3,1,4.140795142602302
4,0.1,4.687380883674255
4,0.5,4.271598348650376
4,1,4.19560622882462
5,0.1,4.389822483074354
5,0.5,4.179907973108514
5,1,4.174468336795549
6,0.1,4.1345111265209455
6,0.5,4.158546620358174
6,1,4.18098277867758
7,0.1,4.123310235015507
7,0.5,4.170726910819945
7,1,4.192416563121787
8,0.1,4.136936953361351
8,0.5,4.181337709554949
8,1,4.200439330840388
9,0.1,4.148796709743554
9,0.5,4.189086067640948
9,1,4.206104127030372
10,0.1,4.158520454305545
10,0.5,4.195090729193345
10,1,4.210405909365093
11,0.1,4.16655704017924
11,0.5,4.199952697695072
11,1,4.213857001335342
12,0.1,4.173214718865728
12,0.5,4.203882651538341
12,1,4.216605525995314
13,0.1,4.178898352001906
13,0.5,4.207197312571064
13,1,4.218907193961794
14,0.1,4.183751395780351
14,0.5,4.209992539233035
14,1,4.220834831006577
15,0.1,4.1879127873305535
15,0.5,4.212363387673312
15,1,4.2224588958244835
16,0.1,4.191612679073253
16,0.5,4.214449111918939
16,1,4.223881423900003
17,0.1,4.19485496500986
17,0.5,4.216273913947189
17,1,4.225125093898221
18,0.1,4.197745068086447
18,0.5,4.2178879729169285
18,1,4.226220865089121
19,0.1,4.200339581013646
19,0.5,4.219330823960651
19,1,4.227198101810469
