k,a,result
1,0.1,3.179799730082636
1,0.5,3.2013746345151746
1,1,3.2288986985679093
2,0.1,2.1720860245384386
2,0.5,2.3751289797004964
2,1,2.535071010875143
3,0.1,1.9619479009321505
3,0.5,2.3967973527138806
3,1,2.6755913484798017
4,0.1,2.118900213833499
4,0.5,2.686222332154581
4,1,3.0112925919824582
5,0.1,2.356625874785921
5,0.5,2.9901409607339695
5,1,3.330910318799855
6,0.1,2.591800675730045
6,0.5,3.2628988966590624
6,1,3.610402553330389
7,0.1,2.8214870254200375
7,0.5,3.5144810245497666
7,1,3.8642001281852796
8,0.1,3.050867707687182
8,0.5,3.7552599301997738
8,1,4.103114111842746
9,0.1,3.2660694353170934
9,0.5,3.9734447637878203
9,1,4.316252845781812
10,0.1,3.474430423354982
10,0.5,4.18019139614255
10,1,4.516755367256207
11,0.1,3.6721878209283942
11,0.5,4.373428067228345
11,1,4.702798307958804
12,0.1,3.8621557261409176
12,0.5,4.554719834181024
12,1,4.87503464046424
13,0.1,4.036108297084101
13,0.5,4.716045637158514
13,1,5.026057719261883
14,0.1,4.200530934581016
14,0.5,4.866021006432451
14,1,5.165381385517117
15,0.1,4.351596973143522
15,0.5,5.001106954136271
15,1,5.2892745524932145
16,0.1,4.493426966581574
16,0.5,5.125792457572293
16,1,5.402446762788587
17,0.1,4.622421790870654
17,0.5,5.235841752418495
17,1,5.500880427071158
18,0.1,4.741363856516089
18,0.5,5.336461534702704
18,1,5.590242183607123
19,0.1,4.851660465658568
19,0.5,5.427962220972957
19,1,5.670535154273387
