seq,alpha,k,entropy
sequence3.txt,1.0,6,4.180982732791053
sequence3.txt,0.001,7,4.159837338417724
sequence3.txt,0.01,7,4.116505037791266
sequence3.txt,0.1,7,4.123310174774232
sequence3.txt,1.0,7,4.192416506019008
sequence3.txt,0.001,8,4.13217777443055
sequence3.txt,0.01,8,4.116292615043992
sequence3.txt,0.1,8,4.136936892828448
sequence3.txt,1.0,8,4.2004392717816845
sequence3.txt,0.001,9,4.135937161891253
sequence3.txt,0.01,9,4.126863207038581
sequence3.txt,0.1,9,4.148796648795678
sequence3.txt,1.0,9,4.206104067105462
sequence3.txt,0.001,10,4.1434823742982525
sequence3.txt,0.01,10,4.137335273004256
sequence3.txt,0.1,10,4.158520393002321
sequence3.txt,1.0,10,4.210405848866612
sequence3.txt,0.001,11,4.150777174526315
sequence3.txt,0.01,11,4.146429989761806
sequence3.txt,0.1,11,4.166556978582554
sequence3.txt,1.0,11,4.213856940396568
sequence3.txt,0.001,12,4.1574415928141235
sequence3.txt,0.01,12,4.154241430880773
sequence3.txt,0.1,12,4.173214657019572
sequence3.txt,1.0,12,4.2166054647058075
sequence3.txt,0.001,13,4.163351133464151
sequence3.txt,0.01,13,4.161013997457065
sequence3.txt,0.1,13,4.178898289943998
sequence3.txt,1.0,13,4.218907132378723
sequence3.txt,0.001,14,4.1686021574829955
sequence3.txt,0.01,14,4.166892032851834
sequence3.txt,0.1,14,4.183751333539872
sequence3.txt,1.0,14,4.2208347691754815
sequence3.txt,0.001,15,4.173189453879478
sequence3.txt,0.01,15,4.171980428698945
sequence3.txt,0.1,15,4.187912724933133
sequence3.txt,1.0,15,4.222458833783323
sequence4.txt,0.001,1,1.9197635870374177
sequence4.txt,0.01,1,1.9197618414688653
sequence4.txt,0.1,1,1.9197602006606456
sequence4.txt,1.0,1,1.9197590089205774
sequence4.txt,0.001,2,1.910774815803369
sequence4.txt,0.01,2,1.9107678373226213
sequence4.txt,0.1,2,1.9107612638896774
sequence4.txt,1.0,2,1.910756517515594
sequence4.txt,0.001,3,1.9080620655116514
sequence4.txt,0.01,3,1.908034142278956
sequence4.txt,0.1,3,1.9080078629550574
sequence4.txt,1.0,3,1.907988867010634
sequence4.txt,0.001,4,1.9036630429944539
sequence4.txt,0.01,4,1.9035513485619122
sequence4.txt,0.1,4,1.9034462321251626
sequence4.txt,1.0,4,1.9033703653375391
sequence4.txt,0.001,5,1.8979412454929434
sequence4.txt,0.01,5,1.8974944968410015
sequence4.txt,0.1,5,1.8970741647577682
sequence4.txt,1.0,5,1.896772011511161
sequence4.txt,0.001,6,1.8895158617481063
sequence4.txt,0.01,6,1.8877289856173889
sequence4.txt,0.1,6,1.8860488850820514
sequence4.txt,1.0,6,1.8848522269543628
sequence4.txt,0.001,7,1.886009484647684
sequence4.txt,0.01,7,1.8788766489982776
sequence4.txt,0.1,7,1.8721814976751423
sequence4.txt,1.0,7,1.8675089903957702
sequence4.txt,0.001,8,1.9131387756092113
sequence4.txt,0.01,8,1.885486378383815
sequence4.txt,0.1,8,1.8596474439413677
sequence4.txt,1.0,8,1.8423648407355844
sequence4.txt,0.001,9,2.055326639207213
sequence4.txt,0.01,9,1.9593969254030739
sequence4.txt,0.1,9,1.870637397627304
sequence4.txt,1.0,9,1.815616601983647
sequence4.txt,0.001,10,2.4522324377495717
sequence4.txt,0.01,10,2.181809533148717
sequence4.txt,0.1,10,1.9342493191539647
sequence4.txt,1.0,10,1.7924669333869914
sequence4.txt,0.001,11,3.117652368753097
sequence4.txt,0.01,11,2.5358933132690695
sequence4.txt,0.1,11,2.015041280202435
sequence4.txt,1.0,11,1.76348591385393
sequence4.txt,0.001,12,3.1625817307283617
sequence4.txt,0.01,12,2.5026641254181077
sequence4.txt,0.1,12,1.9338364492417235
sequence4.txt,1.0,12,1.7308706911680003
sequence4.txt,0.001,13,2.557727865417796
sequence4.txt,0.01,13,2.127817667186006
sequence4.txt,0.1,13,1.7763903115741526
sequence4.txt,1.0,13,1.7186112620177465
sequence4.txt,0.001,14,2.0634533787961167
sequence4.txt,0.01,14,1.8451254565584783
sequence4.txt,0.1,14,1.683540793997803
sequence4.txt,1.0,14,1.7244217513262399
sequence4.txt,0.001,15,1.832966965304489
sequence4.txt,0.01,15,1.7215169352884752
sequence4.txt,0.1,15,1.6538714591862074
sequence4.txt,1.0,15,1.7375483067145905
sequence5.txt,0.001,1,3.2114832433799347
sequence5.txt,0.01,1,3.1900532004655426
sequence5.txt,0.1,1,3.1797997178422426
sequence5.txt,1.0,1,3.2288986981240155
sequence5.txt,0.001,2,2.1969078153786237
sequence5.txt,0.01,2,2.1317896134649597
sequence5.txt,0.1,2,2.172086035032018
sequence5.txt,1.0,2,2.535071018878018
sequence5.txt,0.001,3,1.8611468400382685
sequence5.txt,0.01,3,1.7847020288692068
